time,material_flow,entry_temp,entry_moisture,steam_valve,water_addition,env_temp,env_humidity,out_temp,out_moisture
0,4502.962701252619,30.07222147993043,11.937191087206477,50.0,20.0,25.269345233720397,59.644846277559445,33.233950953918594,19.424031356014503
2,4483.729016658283,29.906025105967608,12.044293102747192,50.0,20.0,24.891030353819104,59.46581774046653,39.01388362891805,10.954807187716769
4,4494.512839512172,30.136920678932515,12.002988594779588,50.0,20.0,24.62067702234305,59.183228378003896,58.713404836582924,13.266380176621148
6,4501.593700624622,29.93102640962936,12.014037606255098,50.0,20.0,24.80854769709365,60.7397281806266,48.06860621480604,18.119527064322533
8,4507.462773326599,30.153726771956244,11.930068138244177,50.0,20.0,24.85647018255848,60.581982197163626,70.33338083695062,19.858433053536267
10,4483.869434491667,30.031191586539883,11.982497471893254,50.0,20.0,25.548800600495074,60.1608039373593,79.46445277422106,14.846103882729246
12,4502.652358109243,29.988739397324416,11.926977208121803,50.0,20.0,24.97153081149018,60.09732683502066,72.62871059182271,10.635643200636302
14,4494.40334714634,29.95750661208634,12.032605444020716,50.0,20.0,25.033893255200653,60.0155973930509,76.80987187784785,16.99866723843205
16,4488.323102487661,29.863645284056556,11.965758007189537,50.0,20.0,24.698360449015684,60.13883138154228,25.71212411442871,8.560102334402313
18,4500.067725657429,29.949665824507697,12.066482643534751,50.0,20.0,25.010078951329458,60.862347352635865,77.55069733821821,19.493338581087674
20,4507.427386193487,29.885962494003337,11.954568456190195,50.0,20.0,24.966668589641685,59.924999840636744,63.89250871965327,8.85831879287081
22,4520.834877290483,29.867226587354033,11.881827930782343,50.0,20.0,24.8374556110815,60.27459881202356,29.0494340974285,19.05892227754528
24,4500.293853464521,29.941653329177473,11.934383225166266,50.0,20.0,24.855223611448004,59.93656096883837,23.21901296113935,7.938102804726566
26,4499.343630666874,29.993746768486545,12.08193986998526,50.0,20.0,25.080955896508005,60.138988374810296,46.349677437900716,7.988857748613127
28,4505.3991946756,30.072717300104784,12.045176182486722,50.0,20.0,24.792296834250504,60.53860278144966,22.977701820055962,15.23712072937927
30,4520.506187727434,29.981527503650433,11.994105278290704,50.0,20.0,25.254645835884492,59.579696576080146,58.09094536911565,6.2628551113855515
32,4506.923325417814,29.956771114933353,11.908071117232382,50.0,20.0,25.31860283550189,60.31277111820288,33.99672237022937,16.45286169992223
34,4489.0435109948385,29.991659535054218,11.916582318089407,50.0,20.0,24.929097680442325,60.215096938765214,48.772690979567344,19.52250883183236
36,4499.956040216989,30.070989126166598,12.037147462200704,50.0,20.0,25.548290089406102,60.22029628497282,28.304722895684332,14.102553451174167
38,4496.593104167156,30.094614859019348,12.04453826017983,50.0,20.0,24.974777513167393,60.40281022843091,25.292743659372313,17.946482152746327
40,4497.259627513893,29.90352562440905,12.076657310900032,50.0,20.0,24.91452940788231,60.16146362849846,64.30003613329148,17.393221658066807
